title,songTitle,artist,release,album,genre,lyricist,composer,arranger,work,opEd,Length
Yume no Tojou,Yume no Tojou,戸定梨香,2023年7月4日,,オリジナル,RUCCA（ルッカ）,ヴィーナス・シンコ,,,,
僕らは戸定建設員,僕らは戸定建設員,戸定梨香,2023年7月4日,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,,
青いベンチ (MCあり),青いベンチ,サスケ,2004年,青いベンチ～好きだった…誰にも言えない恋だった～,J-POP,北清水雄太,北清水雄太,,,,
青いベンチ,青いベンチ,サスケ,2004年,青いベンチ～好きだった…誰にも言えない恋だった～,J-POP,北清水雄太,北清水雄太,,,,
ハッピー☆ラッキー・バースデー! ※メンバー限定,ハッピー☆ラッキー・バースデー！,mao,2012年12月18日,,ドラえもん,マイクスギヤマ,沢田完,沢田完,ドラえもん,ED,
"夏色えがおで1,2,Jump!","夏色えがおで1,2,Jump!",μ's,2011年8月24日, μ's Best Album Best Live! collection,アニソン,畑亜貴,佐々倉有吾,,ラブライブ！,キャラソン,4分32秒
"夏色えがおで1, 2, Jump!","夏色えがおで1,2,Jump!",μ's,2011年8月24日, μ's Best Album Best Live! collection,アニソン,畑亜貴,佐々倉有吾,,ラブライブ！,キャラソン,4分32秒
命ばっかり,命ばっかり,ぬゆり,2017年,,ボカロ,ぬゆり,ぬゆり,,,,
スシ食いねェ！,スシ食いねェ！,シブがき隊,1986年,,J-POP,秋元康,後藤次利,,,,
私、アイドル宣言,私、アイドル宣言,じん,2014年,,ボカロ,じん,じん,,,,
サンタさん,サンタさん,ももいろクローバーZ,2011年11月23日,5TH DIMENSION,J-POP,前田たかひろ,NARASAKI,NARASAKI,,,
人生リセットボタン,人生リセットボタン,kemu,2012年,,ボカロ,kemu,kemu,,,,
どこまでも ～How Far I'll Go～,どこまでも～How Far I'll Go～,屋比久知奈,2017年,モアナと伝説の海 オリジナル・サウンドトラック,ディズニー,林真里江,林真里江,,モアナと伝説の海,挿入歌,
レット・イット・ゴー ～ありのままで～,レット・イット・ゴー～ありのままで～,松たか子,2014年,アナと雪の女王 オリジナル・サウンドトラック,ディズニー,Kristen Anderson-Lopez,Robert Lopez,,アナと雪の女王,挿入歌,
ファンサ,ファンサ,mona（夏川椎菜）,2019年,Log,J-POP,DECO*27,DECO*27,,,,
ハレ晴レユカイ,ハレ晴レユカイ,平野綾、茅原実里、後藤邑子,2006年5月10日,,アニソン,畑亜貴,田代智一,,涼宮ハルヒの憂鬱,ED,
うまぴょい伝説,うまぴょい伝説,ウマ娘 プリティーダービー,2016年,スマホゲーム『ウマ娘 プリティーダービー』STARTING GATE 01 (2021 Remastered Version),アニソン,本田晃弘,本田晃弘,本田晃弘,ウマ娘 プリティーダービー,挿入歌,
お願い!シンデレラ,お願い！シンデレラ, THE IDOLM@STER CINDERELLA GIRLS for BEST5!,2014年,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,アニソン,marhy,NBSI（内田哲也）,NBSI（内田哲也）,THE IDOLM@STER CINDERELLA GIRLS,OP,
はなまるぴっぴはよいこだけ,はなまるぴっぴはよいこだけ,A応P,2015年,A応P,アニソン,あさき,96,96,おそ松さん,OP,
暗殺プリンセス,暗殺プリンセス,初音ミク,2019年,バーチャル・ポップスター,ボカロ,Mitchie M,Mitchie M,Mitchie M,,,
はろうぃんないと,はろうぃんないと,戸定梨香,2020年10月25日,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,ASE,,
青,青,MAYU,2012/11/30,,ボカロ,164,164,164,,,
打上花火,打上花火,DAOKO×米津玄師,2017年,,J-POP,米津玄師,米津玄師,,打ち上げ花火、下から見るか？ 横から見るか？,主題歌,
Believe in yourself,Believe in yourself,阿部真央,2014年,Believe in yourself,アニソン,阿部真央。,阿部真央。,akkin,ベイビーステップ,OP,
幽霊東京,幽霊東京,初音ミク,2019年11月17日,,ボカロ,Ayase,Ayase,Ayase,,,
うちで踊ろう,うちで踊ろう,星野源,2021年,不思議/創造,J-POP,星野源,星野源,,安倍晋三,,
アルカホリック・ランデヴー,アルカホリック・ランデヴー,v flower,:2019年,,ボカロ,くじら,くじら,くじら,,,
Rusty Nail,Rusty Nail,X JAPAN,1994年7月10日,DAHLIA,J-POP,YOSHIKI,YOSHIKI,,君が見えない,主題歌,
ダンシング・ヒーロー(Eat You Up),ダンシング・ヒーロー(Eat You Up),荻野目洋子,1985年,荻野目洋子 ザ・ベスト,J-POP,篠原仁志,A.Kyte / T.Baker,馬飼野康二,,,
自由への扉,自由への扉,小此木麻里,2010年,,ディズニー,"GLENN SLATER , 高橋知伽江",ALAN MENKEN,,塔の上のラプンツェル,挿入歌,
チバケンサンバ,チバケンサンバ,戸定梨香,2024年10月26日,,オリジナル,カミナリ / 戸定梨香,カミナリコゾウ,直江香世子 // DJ No.2,南のちば,,
恋は最後のフェアリー・テール,恋は最後のフェアリー・テール,すかんち,1994年,GOLD,J-POP,森雪之丞,ロ−リ−寺西,佐久間正英・すかんち,ゲーム・オン!,CMソング,
むぅむぅちゃんバースデー,恋は最後のフェアリー・テール,戸定梨香,2024/06/06,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,,
むぅむぅお誕生日おめでとう,むぅむぅお誕生日おめでとう,戸定梨香,2024/06/06,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,,
ジングル・ベル,ジングル・ベル,,1857年,,クリスマス,ピアポント,ピアポント,,,,
冬がはじまるよ,冬がはじまるよ,槇原敬之,1992年,君は僕の宝物,J-POP,槇原敬之,槇原敬之,槇原敬之,サッポロビール「冬物語」,CMソング,
クリスマス・イブ,クリスマス・イブ,山下達郎,1983年12月14日,MELODIES,J-POP,山下達郎,山下達郎,,JR東海のクリスマス・エクスプレス,CMソング,
いつか空に届いて,いつか空に届いて,椎名恵,1991年,機動戦士ガンダム・オデッセイ,ガンダム,椎名恵,椎名恵,戸塚修,機動戦士ガンダム0080 ポケットの中の戦争,主題歌,
あわてんぼうのサンタクロース,あわてんぼうのサンタクロース,坂田おさむと神崎ゆう子,2006年2月22日,ベスト・セレクション「楽しいクリスマス・ソング」,クリスマス,吉岡治,小林亜星,越部信義,,,
いつかのメリークリスマス,いつかのメリークリスマス,B'z,1992年,FRIENDS,J-POP,稲葉浩志,松本孝弘,,恋は舞い降りた,挿入歌,
Snow Fairy Story,Snow Fairy Story,初音ミク,2016年,ショートストーリー,ボカロ,40mP,40mP,40mP,,,
雪の華,雪の華,中島美嘉,2003年10月1日,LØVE ,J-POP,Satomi,松本良喜,松本良喜,明治製菓「boda」「galbo」,CMソング,
You're My Only Shinin' Star,You're My Only Shinin' Star,中山 美穂,1986年,SUMMER BREEZE,J-POP,角松敏生,角松敏生,,な・ま・い・き盛りスペシャル,ED,
SWEET MEMORIES,SWEET MEMORIES,松田聖子,1983年,Seiko・plaza,J-POP,松本隆,細野晴臣、大村雅朗,,サントリーCANビール,CMソング,
遠い街のどこかで…,遠い街のどこかで…,中山 美穂,1991年11月1日,Miho's Select,J-POP,渡邉美佳,中崎英也,中崎英也,逢いたい時にあなたはいない…,主題歌,
世界中の誰よりきっと,世界中の誰よりきっと,中山 美穂,1993年,Dramatic Songs,J-POP,上杉昇、中山美穂,織田哲郎,葉山たけし,誰かが彼女を愛してる,主題歌,
POP IN 2,POP IN 2,B小町 ルビー（CV：伊駒ゆりえ）、有馬かな（CV：潘めぐみ）、MEMちょ（CV：大久保瑠美）,2024年,TVアニメ「【推しの子】」キャラクターソングCD Vol.4,アニソン,つむぎしゃち,久下真音、つむぎしゃち,久下真音,【推しの子】,キャラソン,
こんなあたしはいかがですか,こんなあたしはいかがですか,超ときめき♡宣伝部,2024年,ときめきルールブック,J-POP,コレサワ,コレサワ,,,,
すきっ!,すきっ！,超ときめき♡宣伝部,2018年,ときおとめ,J-POP,中村瑛彦,中村瑛彦,伊東大和,,,
愛包ダンスホール,愛包ダンスホール,ヒメヒナ,2024年,ヒトガタ/愛包ダンスホール,J-POP,Gohgo,涼木シンジ,涼木シンジ,,,
Realize!,Realize!,鈴木このみ,2021年8月26日,鈴木このみ5thアルバム「ULTRA FLASH」,アニソン,篠崎あやと、橘亮祐,篠崎あやと、橘亮祐,,Re:ゼロから始める異世界生活,OP,
わたしの一番かわいいところ,わたしの一番かわいいところ,FRUITS ZIPPER,2022年4月29日,,J-POP,ヤマモトショウ,ヤマモトショウ,,,,
残酷な天使のテーゼ,残酷な天使のテーゼ,高橋洋子,1995年10月25日,NEON GENESIS EVANGELION,アニソン,及川眠子,佐藤英敏,,新世紀エヴァンゲリオン,OP,
絶対アイドル辞めないで,絶対アイドル辞めないで,=LOVE,2024年7月31日,,J-POP,指原莉乃,小池竜暉、菊池博人,小池竜暉、菊池博人,,,
風といっしょに,風といっしょに,小林幸子、 中川翔子,2019年,RGB 〜True Color〜,アニソン,戸田昭吾,たなかひろかず,沢田完,ポケットモンスター,ED,
"Please, please!","Please, please!",大橋 彩香,2023/7/26,,アニソン,Kanata Okajima,Kanata Okajima・pw.a,pw.a,政宗くんのリベンジR,OP,
ETERNAL WIND ～ほほえみは光る風の中～,ETERNAL WIND ～ほほえみは光る風の中～,森口博子,1991年2月5日,Eternal Songs,ガンダム,西脇唯,西脇唯・緒里原洋子,,機動戦士ガンダムF91,ED,
回レ!雪月花,回レ！雪月花,歌組雪月花,2013年11月27日,,アニソン,ヒゲドライバー,ヒゲドライバー,ヒゲドライバー,機巧少女は傷つかない,ED,
私の夏,私の夏,森高 千里,1993年4月10日,LUCKY 7,J-POP,森高千里,斉藤英夫,斉藤英夫,93全日空沖縄,キャンペーンソング,
夢をかなえてドラえもん,夢をかなえてドラえもん,mao,2007年,夢をかなえてドラえもん,ドラえもん,黒須克彦,黒須克彦,,ドラえもん,OP,
星間飛行,星間飛行,YUMIKO,2009年,JAPAN ANIMESONG COLLECTION VOL.29[アニソン・ジャパン],アニソン,松本隆,菅野よう子,,マクロスF,挿入歌,
ドリドリ,ドリドリ,中川翔子,2015.02.18,,アニソン,中川翔子・岩里祐穂,鈴木健太朗,黒須克彦,ポケットモンスターXY,ED,
ライオン,ライオン,May'n/中島愛,2008年8月20日,メイン☆ストリート,アニソン,Gabriela Robin,菅野よう子,,マクロスF,OP,
ω猫,ω猫,AZKi,2023年,3枚目の地図,ボカロ,ナユタン星人,ナユタン星人,,,,
フリージア,フリージア,Uru,2017/02/15,,ガンダム,Uru,岩見直明,トオミヨウ,機動戦士ガンダム 鉄血のオルフェンズ,ED,
晴る,晴る,ヨルシカ,2024年,,アニソン,n-buna,n-buna,,葬送のフリーレン,OP,
Oneway Generation,Oneway Generation,本田美奈子,1987年2月4日,ゴールデンベスト ニューベストナウ,J-POP,秋元康,筒美京平,大谷和夫,パパはニュースキャスター,主題歌,
Sincerely,Sincerely,TRUE,2018年1月31日,,アニソン,唐沢美帆,堀江晶太,,ヴァイオレット・エヴァーガーデン,OP,
ミッキーマウス・マーチ,ミッキーマウス・マーチ,,1955年,,ディズニー,ジミー・ドッド,ジミー・ドッド,,ミッキーマウス・クラブ,OP,
影踏み,影踏み,nano.RIPE,2013年3月,,アニソン,きみコ,きみコ・佐々木淳,,劇場版 花咲くいろは HOME SWEET HOME,主題歌,
愛が生まれた日,愛が生まれた日,大内義昭、 藤谷美和子,1994年,愛が生まれた日,J-POP,秋元康,羽場仁志,萩田光雄,そのうち結婚する君へ,挿入歌,
輝く君へ,輝く君へ,麻帆良学園中等部2-A かなかな組,2005年,輝く君へ,アニソン,ヌマダテゆか、須藤仁美,桑原秀明,,魔法先生ネギま!,ED,
眩暈,眩暈,鬼束ちひろ,2001年3月7日,インソムニア,J-POP,鬼束ちひろ,鬼束ちひろ,羽毛田丈史,エステティックサロン『ラ・パルレ』,CMソング,
ありがとう,ありがとう,いきものがかり,2010年,いきものばかり〜メンバーズBESTセレクション〜,J-POP,水野良樹 ,水野良樹 ,本間昭光,ゲゲゲの女房,主題歌,
ラ♡ブ♡リ♡,ラ♡ブ♡リ♡,三浦あずさ (CV.たかはし智秋),2013年,MASTER ARTIST 2,アニソン,yura,松田信男,松田信男,アイドルマスター,,
キミの花,キミの花,奥華子,2017年1月5日,遥か遠くに見えていた今日,アニソン,Oku Hanako。,Oku Hanako。,Morimoto Takahiro,セイレン,OP,
Wonderful World,Wonderful World,Dream Ami,2021年2月19日,,J-POP,Dream Ami,Ellee Duke、Emily Wright、Kipp Williams,,鴨川シーワールド,テーマソング,
ホール・ニュー・ワールド,ホール・ニュー・ワールド,ブラッド・ケイン、 レア・サロンガ,1992年,,ディズニー,ティム・ライス ,アラン・メンケン ,,アラジン,主題歌,
運命共同体!,運命共同体！,音莉飴,2023/04/08,,アニソン,音莉飴,音莉飴・メブキユウ,MARUMOCHI,女神のカフェテラス,OP,
可愛いあの子が気にゐらない,可愛いあの子が気にゐらない,なるみや,2023年,可愛いあの子が気にゐらない,J-POP,なるみや ,なるみや ,羽生まゐご,,,
START:DASH!!,START:DASH!!,μ's,2013/04/03,,アニソン,畑亜貴,:佐々木裕,:佐々木裕,ラブライブ！,挿入歌,
dear...,dear...,馬場このみ（CV：高橋未奈美(現髙橋ミナミ)）,2014年4月30日,THE IDOLM@STER LIVE THE@TER PERFORMANCE 13,アニソン,KOH,KOH,KOH,アイドルマスター ミリオンライブ！,,
All Alone With You,All Alone With You,EGOIST,2013年,「PSYCHO-PASS サイコパス」Complete Original Soundtrack（配信バージョン）,アニソン,ryo(supercell),ryo(supercell),,PSYCHO-PASS,ED,
Into the Sky,Into the Sky,SawanoHiroyuki[nZk],2016年6月29日,,ガンダム,Benjamin & mpi,澤野弘之,,機動戦士ガンダムUC,OP,
アンダー・ザ・シー,アンダー・ザ・シー,サミュエル・E・ライト,1989年,,ディズニー,ハワード・アッシュマン,アラン・メンケン ,,リトル・マーメイド,主題歌,
STILL LOVE HER (失われた風景),STILL LOVE HER (失われた風景),TM NETWORK,1988年12月9日,CAROL 〜A DAY IN A GIRL'S LIFE 1991〜,アニソン,小室哲哉,小室哲哉、木根尚登,,CITY HUNTER2,ED,
ススメ→トゥモロウ,ススメ→トゥモロウ,高坂穂乃果・南ことり・園田海未,2013年2月20日,,アニソン,畑亜貴,河田貴央,,ラブライブ！,劇中歌の劇中歌,
ふわふわ時間,ふわふわ時間,放課後ティータイム,2009年,放課後ティータイム,アニソン,秋山澪,前澤寛之,,けいおん！,挿入歌,
鳥の詩,鳥の詩,Lia,2000年,Lia／LIA COLLECTION ALBUM Special Limited Box,アニソン,麻枝准,折戸伸治,高瀬一矢,AIR,主題歌,
空も飛べるはず,空も飛べるはず,スピッツ,1994年,空の飛び方,J-POP,草野正宗,草野正宗,,白線流し,主題歌,
motto☆いちごオレ,motto☆いちごオレ,成海 萌奈（なるみ もな） / mona（モナ）,2024年3月9日,#名前だけでも覚えていってください,アニソン,"Gom, shito",Gom,HoneyWorks,告白実行委員会,挿入歌,
Enter Enter MISSION!,Enter Enter MISSION!,あんこうチーム,2012年11月7日,,アニソン,畑亜貴,矢吹香那・佐々木裕,佐々木裕,ガールズ&パンツァー,ED,
my graduation,my graduation,SPEED,1998年2月18日,RISE,J-POP,伊秩弘将 ,伊秩弘将 ,水島康貴,日清食品「日清焼そばU.F.O.」,CMソング,
卒業写真,卒業写真,松任谷由実,1975年,COBALT HOUR,J-POP,荒井由実,荒井由実,,キリン・ラガービール,CMソング,
アンインストール,アンインストール,鈴木美夏,2008年,JAPAN ANIMESONG COLLECTION VOL.15[アニソン・ジャパン],アニソン,石川智晶,石川智晶,,ぼくらの,OP,
光るなら,光るなら,Goose house,2014年11月19日,,アニソン,Goose house,Goose house,,四月は君の嘘,OP,
勇者,勇者,YOASOBI,2023年,THE BOOK 3,アニソン,Ayase,Ayase ,,葬送のフリーレン,OP,
トレセン音頭,トレセン音頭,,2023年8月24日,『ウマ娘 プリティーダービー』WINNING LIVE 13,アニソン,丹下めえな,本田晃弘,本田晃弘、加藤慶久,ウマ娘 プリティーダービー,挿入歌,
走れ!自転車,走れ！自転車,子門真人,,,J-POP,伊藤アキラ,越部信義,,松戸競輪,テーマソング,
はっぴぃ にゅう にゃあ,はっぴぃ にゅう にゃあ,芹沢文乃(伊藤かな恵)・梅ノ森千世(井口裕香)・霧谷希(竹達彩奈),2010年,はっぴぃ にゅう にゃあ/イチャラブ Come Home!,アニソン,くまのきよみ,高木隆次,高木隆次,迷い猫オーバーラン,OP,
AURORA,AURORA,藍井エイル,2012年9月5日,,ガンダム,Eir・Ryosuke Shigenaga,Ryosuke Shigenaga,重永亮介・下川佳代,機動戦士ガンダムAGE,OP,
irony,irony,ClariS,2010年10月20日,BIRTHDAY,アニソン,kz,kz,kz,俺の妹がこんなに可愛いわけがない,OP,
Paradise,Paradise,NiziU,,,ドラえもん,3RACHA,3RACHA,,映画ドラえもん のび太と空の理想郷（ユートピア）,,
Thank You!,Thank You!,,2013年2月10日,THE IDOLM@STER LIVE THE@TER PERFORMANCE 01,アニソン,NBSI（モモキエイジ）,NBSI（佐藤貴文）,NBSI（佐藤貴文）,アイドルマスター シンデレラガールズ,テーマソング,
PRIDE,PRIDE,HIGH and MIGHTY COLOR,2005年1月26日,G∞VER,ガンダム,HIGH and MIGHTY COLOR,HIGH and MIGHTY COLOR,HIGH and MIGHTY COLOR,機動戦士ガンダムSEED,OP,
SnowMix♪,SnowMix♪,初音ミク,,,ボカロ,まらしぃ,まらしぃ,KOUICHI（Twitter）,,,
City Hunter ～愛よ消えないで～,City Hunter〜愛よ消えないで〜, 小比類巻かほる,1987年5月10日,City Hunter,アニソン,麻生圭子,大内義昭,戸塚修,シティハンター,OP,
Memorial,Memorial,i☆Ris,2018/02/21,,アニソン,森月キャス,渡辺徹,渡辺徹,アイドルタイムプリパラ,OP,
Love Destiny,Love Destiny,堀江由衣,2001/05/16,,アニソン,伊藤千夏,伊藤千夏,小林信吾,シスター・プリンセス,OP,
Get Wild,Get Wild,TM NETWORK,1987年4月8日,SONY ORIGINAL DEMONSTRATION DISC REBECCA in Liberty,アニソン,小室みつ子,小室哲哉,,シティーハンター,ED,
恋人がサンタクロース,恋人がサンタクロース,松任谷由実,1980年12月1日, SURF&SNOW,J-POP,松任谷由実,松任谷由実,Maestro-T,私をスキーに連れてって,挿入歌,
M@STERPIECE,M@STERPIECE,765PRO ALLSTARS,2014年1月29日,,アニソン,yura,神前暁,,THE IDOLM@STER MOVIE 輝きの向こう側へ!,主題歌,
KIRARI MAGIC SHOW,KIRARI MAGIC SHOW,ホッコータルマエ (CV. 菊池紗矢香)、 コパノリッキー、 他 件,2022年,『ウマ娘 プリティーダービー』WINNING LIVE 09,アニソン,真崎エリカ,河合泰志(Arte Refact),河合泰志(Arte Refact),ウマ娘 プリティーダービー,挿入歌,
Snow halation,Snow halation,μ's,2010年12月22日,μ's Best Album Best Live! collection,アニソン,畑亜貴,山田高弘,,ラブライブ！,挿入歌,
かわいいメモリアル,かわいいメモリアル,超ときめき♡宣伝部,2023年9月27日,かわいいメモリアル,アニソン,MUTEKI DEAD SNAKE,MUTEKI DEAD SNAKE,MUTEKI DEAD SNAKE,みなと商事コインランドリー2,主題歌,
ようこそジャパリパークへ,ようこそジャパリパークへ,どうぶつビスケッツ,2017年2月8日,仮歌,アニソン,大石昌良,大石昌良,大石昌良,けものフレンズ,OP,
誇り高きアイドル,誇り高きアイドル,HoneyWorks, 2021年,告白実行委員会 -FLYING SONGS- 愛してる,アニソン,"shito・Gom,",shito,,告白実行委員会,挿入歌,
SHINY DAYS,SHINY DAYS,亜咲花,2018年1月24日,,アニソン,永塚健登,新田目翔,悠木真一,ゆるキャン△,OP,
ゼリーフィッシュ,ゼリーフィッシュ,アイアンフリル,2018年11月28日,,アニソン,唐沢美帆,山田竜平,,ゾンビランドサガ,挿入歌,
夜明けのShooting Star,夜明けのShooting Star,林原めぐみ,1992年,WHATEVER,ガンダム,辛島美登里,辛島美登里,,機動戦士ガンダム0080～ポケットの中の戦争～,イメージソング,
あんたにあっかんべ,あんたにあっかんべ,初音ミク, 2023年,,ボカロ,一二三,一二三,一二三,,,
緋色の空,緋色の空,川田まみ,2005年11月9日,SEED,アニソン,川田まみ,中沢伴行,,灼眼のシャナ,OP,
花火,花火,aiko,2000年,桜の木の下,J-POP,,,,激マジ!!～ティ-ンのホンネ～,ED,
金曜日のおはよう -another story-,金曜日のおはよう-another story-,初音ミク,2014年,僕じゃダメですか？〜「告白実行委員会」キャラクターソング集〜,ボカロ,HoneyWorks,HoneyWorks,HoneyWorks,,,
slash,slash,yama,2023年,機動戦士ガンダム 水星の魔女 Original Soundtrack (Incomplete Edition),ガンダム,馬場龍樹,遠藤ナオキ,,機動戦士ガンダム 水星の魔女,OP,
ちゅ、多様性。,ちゅ、多様性。,あの,2022年11月23日,猫猫吐吐,アニソン,あの、真部脩一,真部脩一,TAKU INOUE,チェンソーマン,ED,
HAPPY PARTY TRAIN,HAPPY PARTY TRAIN,Aqours,2017年4月5日,,アニソン,畑亜貴,渡辺拓也,EFFY,ラブライブ！サンシャイン!!,挿入歌,
サインはB,サインはB,B小町,2024年,SHINING SONG,アニソン,大石昌良,やしきん,,【推しの子】,挿入歌,
SHOOT!,SHOOT!,RO-KYU-BU!,2011年8月17日,TVアニメ ロウきゅーぶ! オリジナル・サウンドトラック,アニソン,KOTOKO,八木沼悟志,,ロウきゅーぶ！,主題歌,
僕が生まれた街,僕が生まれた街, 奥 華子,2007年9月19日,TIME NOTE,J-POP,奥華子,奥華子,,ちばデスティネーションキャンペーン,キャンペーンソング,
北ウイング,北ウイング,中森明菜,1984年1月1日,ANNIVERSARY,J-POP,康珍化,林哲司,林哲司,,,
想い出の九十九里浜,想い出の九十九里浜,Mi-Ke,1991年,想い出のG・S・九十九里浜,J-POP,長戸大幸,織田哲郎,織田哲郎,ナースステーション,主題歌,
